id1,id2,weight
415693,108047,1
15429,96845,1
4804,6125,1
202639,13917,1
273152,1114512,1
74700,134307,1
645897,662572,1
29492,293974,1
646286,1130931,1
35,689152,1
6151,23448,1
562067,1127566,1
210871,688361,1
198653,1123553,1
117,8703,1
8224,60170,1
19621,25184,1
6213,195361,1
44514,1128839,1
853116,310653,1
32083,1116347,1
35061,656048,1
8619,272720,1
44514,1152904,1
6213,1118092,1
44514,583318,1
13686,1154251,1
19621,79809,1
44514,307015,1
36140,27535,1
273152,672064,1
46491,389715,1
44514,1102400,1
6213,1112026,1
22566,7032,1
8703,1118658,1
853116,390922,1
85688,949217,1
27895,417017,1
6151,1125906,1
117,70441,1
49811,1131471,1
39131,39126,1
16819,686015,1
4584,636098,1
15076,1121739,1
642894,27250,1
210871,35797,1
135464,139547,1
13654,294239,1
6184,208345,1
10798,57948,1
35,1123093,1
9515,1107095,1
6169,20526,1
54129,578649,1
15429,237376,1
141342,1152944,1
210872,57922,1
3192,1110998,1
643485,27250,1
4584,36620,1
8703,51909,1
940,1114502,1
8224,1125393,1
82920,184157,1
44514,8079,1
3192,1152917,1
82920,628815,1
1365,171225,1
6184,7032,1
887,25184,1
82920,672071,1
643485,94713,1
210872,6539,1
82920,1105603,1
24043,708945,1
6213,28202,1
4584,6220,1
6216,1113739,1
24966,682666,1
141342,634902,1
6184,59244,1
114,1153262,1
643485,105899,1
12439,105057,1
6786,1106789,1
6784,560936,1
38205,1128997,1
6184,102406,1
42156,34263,1
51879,1123867,1
10177,39131,1
51879,627024,1
27535,711527,1
51879,57922,1
153063,120013,1
3240,8821,1
28350,32872,1
643239,1131314,1
6151,1105450,1
44514,1127810,1
287787,415693,1
69198,649739,1
32083,1133010,1
82920,1102646,1
35061,1107010,1
27535,235776,1
273152,1111230,1
1272,65653,1
175548,767763,1
10981,649731,1
210871,1095507,1
32083,65650,1
18615,5038,1
273152,1123530,1
35,1129573,1
6151,62389,1
1272,27250,1
561595,561582,1
198653,32872,1
24043,1118347,1
40135,3233,1
15987,300071,1
3229,892139,1
210871,34708,1
12638,263553,1
6184,18615,1
6213,34961,1
40135,1125906,1
65074,1153786,1
40135,108963,1
20193,509379,1
82920,334153,1
1365,390896,1
6898,686015,1
94639,593105,1
32083,57948,1
1365,578306,1
66556,1153896,1
506,89416,1
10798,470511,1
6213,429781,1
642681,119956,1
70520,1118092,1
8224,173884,1
887,38480,1
51866,1107355,1
6184,1130934,1
628500,1130600,1
4584,187354,1
35061,606647,1
12576,83725,1
12337,118436,1
24043,1105116,1
29492,133566,1
44514,1105428,1
198653,211875,1
69198,93320,1
134315,87915,1
941,1116410,1
82920,28447,1
198653,248823,1
32083,1106388,1
91038,683355,1
19621,592830,1
643485,1103676,1
24043,92065,1
8703,429781,1
237521,99025,1
440815,703953,1
198653,1128935,1
141342,289781,1
37879,1105116,1
15429,711598,1
51879,389715,1
15429,1117249,1
35,636098,1
853115,49844,1
134316,1117920,1
141342,85352,1
853114,35778,1
22564,1272,1
210871,1694,1
56708,1106547,1
267824,1131464,1
273152,1130567,1
4584,70441,1
210872,1113614,1
103537,1114352,1
853114,23545,1
10435,1132706,1
117,1135125,1
35061,1126029,1
210871,672071,1
6184,79809,1
20534,7432,1
6151,1132418,1
6213,60170,1
887,1129610,1
644577,66990,1
6213,1106287,1
37483,49844,1
69198,13717,1
103515,578780,1
69198,205192,1
853115,144212,1
28412,682666,1
46468,105057,1
35,647447,1
4330,1110768,1
6151,127033,1
4335,1116336,1
12350,51180,1
12638,168410,1
1959,1152896,1
152731,1104379,1
117,1153148,1
6898,684986,1
853115,13885,1
2440,1103737,1
22563,7032,1
6184,93923,1
27535,12439,1
853114,211875,1
15429,1152448,1
24043,1113934,1
643485,642894,1
210871,190706,1
6334,1131471,1
8224,55801,1
30817,152731,1
19621,1129208,1
10169,56167,1
853115,1128868,1
117,1125895,1
8703,1115456,1
35,1129243,1
28957,69392,1
23738,1105932,1
51049,6913,1
44514,1108329,1
6213,431206,1
10435,108983,1
887,1125469,1
32276,17476,1
231198,675847,1
8703,1153866,1
267824,205192,1
3236,137873,1
4649,562123,1
389715,107251,1
567018,1127812,1
35061,647447,1
32083,167670,1
82920,1152358,1
1953,3101,1
35061,1125906,1
32083,628766,1
231198,66982,1
641976,1132443,1
853114,10435,1
126920,11093,1
19621,65653,1
141342,815096,1
1272,1114526,1
240791,1113438,1
23507,217852,1
561568,1717,1
40135,434,1
35,32872,1
2440,6939,1
210872,193931,1
210872,1154068,1
39890,3191,1
1272,582343,1
35061,1131137,1
6151,1127863,1
82920,140569,1
36140,84020,1
117,267003,1
887,170338,1
85688,1131471,1
15429,8821,1
117,6224,1
4584,229635,1
853114,1108834,1
44514,1128227,1
32083,1152307,1
13686,1111788,1
210871,246618,1
39890,192850,1
12576,395075,1
19621,1131464,1
289779,801170,1
117315,1128291,1
25702,1118017,1
1272,1107418,1
44514,38829,1
240791,1153945,1
853115,1116922,1
1246,1119471,1
39890,137849,1
10435,101811,1
137790,3237,1
575077,593859,1
39890,39210,1
35,1131565,1
210871,647447,1
3192,440815,1
561613,151708,1
887,180373,1
8703,1127863,1
32083,1130915,1
358887,463825,1
44514,649730,1
1272,285675,1
30817,31043,1
144408,25181,1
815096,1130586,1
887,1128437,1
6184,1131634,1
69198,1131607,1
12638,1104449,1
22563,429805,1
141342,1154068,1
8224,1095507,1
12631,1154103,1
25702,72101,1
6224,1106406,1
210872,711527,1
35061,130,1
117,591016,1
44514,1133196,1
35061,562123,1
35,672071,1
126926,390889,1
44514,22564,1
141342,38829,1
82920,1153166,1
20534,1106966,1
51866,6935,1
237489,469504,1
85688,1116922,1
427606,19045,1
5869,35922,1
621555,1130243,1
40135,627024,1
12210,6539,1
35061,1125492,1
141342,112378,1
3240,20850,1
27895,263279,1
35061,95188,1
5348,436796,1
141342,89335,1
8224,1116268,1
39890,686015,1
576973,1153065,1
77758,576257,1
6213,63915,1
35061,975567,1
22564,350373,1
575077,459214,1
36167,1107067,1
1272,96845,1
887,1153254,1
35,267003,1
5869,340075,1
35,28485,1
25702,118559,1
4649,911198,1
4330,949217,1
6184,27535,1
6213,1108329,1
23738,954315,1
8224,1128319,1
23738,144679,1
642681,1116629,1
67415,192850,1
649731,1131634,1
144408,92065,1
19621,31863,1
40151,964248,1
15429,1132285,1
25702,649739,1
887,212777,1
51866,1153899,1
78511,735303,1
3229,1103960,1
3231,1120084,1
22563,385572,1
1952,129045,1
210871,28387,1
642681,39210,1
198653,91975,1
44514,1110546,1
30817,16461,1
853116,1121254,1
853114,31769,1
6334,1114502,1
39890,69418,1
30817,184918,1
16819,118436,1
103537,105057,1
644577,1131236,1
3192,733167,1
23738,88356,1
35,195792,1
4649,1153811,1
46491,1050679,1
44514,596075,1
35061,1130600,1
44514,39130,1
