id1,id2,weight
commission.v.01,equip.v.01,1
go_through_the_motions.v.01,make.v.42,1
flicker.v.01,move_back_and_forth.v.01,1
smash.v.07,move.v.02,1
yak.v.01,act.v.01,1
boost.v.05,push.v.01,1
sex.v.02,distinguish.v.01,1
consolidate.v.04,change.v.02,1
name.v.01,label.v.01,1
shill.v.01,wrong.v.01,1
trivialize.v.01,understate.v.01,1
transcribe.v.01,interact.v.01,1
preach.v.02,hash_out.v.01,1
betroth.v.01,promise.v.01,1
revert.v.01,change_by_reversal.v.01,1
miscalculate.v.01,err.v.01,1
sandbag.v.01,treat.v.01,1
cancel.v.02,change.v.01,1
craft.v.01,make.v.15,1
get_around_to.v.01,act.v.01,1
elicit.v.03,deduce.v.01,1
round.v.07,gain.v.09,1
pay.v.10,give.v.03,1
direct.v.01,request.v.02,1
declare.v.03,affirm.v.02,1
recruit.v.03,enlist.v.03,1
trail.v.05,drag.v.01,1
seek.v.05,request.v.03,1
mine.v.02,change.v.01,1
bruise.v.01,injure.v.01,1
murder.v.01,kill.v.01,1
meow.v.01,utter.v.02,1
tug.v.02,fight.v.03,1
sit_down.v.01,change_posture.v.01,1
wigwag.v.02,communicate.v.02,1
digress.v.01,inform.v.01,1
abridge.v.02,restrict.v.01,1
vouch.v.01,declare.v.01,1
bottleneck.v.01,obstruct.v.01,1
retire.v.08,tire.v.01,1
browse.v.04,consume.v.02,1
birl.v.01,turn.v.01,1
drive.v.08,move.v.02,1
close.v.07,sell.v.02,1
misdo.v.01,carry_through.v.01,1
type.v.02,identify.v.06,1
curtsy.v.02,greet.v.01,1
reform.v.04,change_integrity.v.01,1
align.v.03,stand.v.06,1
flim-flam.v.01,deceive.v.01,1
vegetate.v.04,develop.v.10,1
bleat.v.02,utter.v.02,1
shellac.v.01,varnish.v.01,1
squeeze_for.v.01,compel.v.01,1
foist.v.02,insert.v.02,1
resew.v.01,connect.v.01,1
coo.v.01,talk.v.02,1
guess.v.02,speculate.v.02,1
integrate.v.03,change.v.02,1
inject.v.03,put.v.01,1
jam.v.02,push.v.01,1
pool.v.02,group.v.02,1
supplicate.v.02,transfer.v.02,1
tutor.v.01,act.v.01,1
bear_down.v.06,transfer.v.02,1
implant.v.01,attach.v.01,1
interchange.v.04,change_by_reversal.v.01,1
quirk.v.01,turn.v.01,1
drum.v.01,cause_to_be_perceived.v.01,1
squat.v.02,be.v.01,1
champion.v.01,react.v.01,1
spotlight.v.02,lighten.v.05,1
scoop_out.v.01,empty.v.01,1
mandate.v.02,interact.v.01,1
bonderize.v.01,coat.v.01,1
rack.v.07,draw.v.07,1
beckon.v.02,attract.v.02,1
recuperate.v.04,change_state.v.01,1
visa.v.01,declare.v.01,1
marshal.v.04,lead.v.01,1
bid.v.03,move.v.02,1
transfer.v.04,move.v.02,1
stoke.v.01,tend.v.03,1
filiate.v.01,determine.v.03,1
rear.v.01,straighten.v.03,1
action.v.01,challenge.v.02,1
give.v.32,perform.v.03,1
blaze.v.05,communicate.v.02,1
unbend.v.02,unfasten.v.01,1
play_around.v.01,victimize.v.01,1
validate.v.01,react.v.01,1
restrain.v.04,suppress.v.04,1
exult.v.01,rejoice.v.01,1
include.v.02,think.v.01,1
rehash.v.01,recycle.v.02,1
ream.v.02,remove.v.01,1
signalize.v.03,communicate.v.02,1
walk.v.07,join.v.01,1
corn.v.01,provide.v.02,1
commission.v.03,react.v.01,1
trouble_oneself.v.01,strive.v.02,1
sideswipe.v.01,strike.v.01,1
distill.v.05,exhaust.v.05,1
point.v.14,repair.v.01,1
catapult.v.01,propel.v.01,1
ritualize.v.01,formalize.v.01,1
mobilize.v.01,gather.v.01,1
decouple.v.04,unmake.v.01,1
collectivize.v.01,control.v.01,1
unblock.v.03,distribute.v.03,1
set.v.06,put.v.01,1
stamp.v.04,connect.v.01,1
stock.v.02,give.v.03,1
summon.v.02,communicate.v.01,1
lie_down.v.01,change_posture.v.01,1
ascend.v.06,slope.v.01,1
dot.v.03,trace.v.02,1
goose_step.v.01,march.v.01,1
extrapolate.v.03,reason.v.01,1
scotch_tape.v.01,connect.v.01,1
disk-jockey.v.01,interact.v.01,1
line.v.04,incise.v.01,1
